Level,Salary
3,44796
7,105390
8,125257
5,66183
4,52663
8,125998
8,127898
3,44945
6,85743
5,67131
2,35495
8,127304
6,85763
2,35136
5,67353
1,31020
10,180489
6,82563
9,150791
1,33081
10,181878
3,44957
7,104958
4,55184
9,151136
3,45196
5,68499
3,44652
7,102198
5,67660
9,149501
7,102141
2,36267
4,53589
9,150354
2,35759
10,181296
9,151932
10,181474
5,67161
2,35153
4,53076
7,103207
8,126777
3,43195
1,31233
4,53439
2,36294
8,124835
4,55510
2,34202
6,85255
6,82122
10,178400
4,52766
6,82293
2,36327
10,181908
2,36931
10,181681
4,52197
8,127029
7,103430
9,153082
8,126799
5,67691
2,34608
5,68772
8,125147
10,178186
9,152897
9,152011
1,32920
9,151294
7,102159
9,152311
8,127002
1,31455
8,126450
8,125369
3,43486
1,31034
8,124146
3,44719
3,44411
1,31234
5,67343
10,178488
7,104476
10,179959
9,151163
7,104098
9,151885
8,126919
2,34640
1,31302
7,104020
7,103469
8,126198
5,66938
3,44869
8,125634
6,82262
3,43287
1,31691
3,43893
5,66123
3,42516
1,33143
5,66380
10,180049
7,104444
7,102827
9,151801
10,181723
10,178452
3,44608
7,102683
1,32562
4,54056
4,55304
5,68670
7,103182
7,104363
4,54255
7,102654
3,41903
6,84199
2,36101
10,181191
9,151196
5,69491
6,82627
4,52586
10,179648
7,102943
9,150945
7,101603
1,33423
1,29753
9,152798
9,152683
4,54557
9,150996
3,41598
7,103700
6,83884
8,126961
9,151419
5,66377
