cgpa,score,placed
6.87,79.0,1
9.75,45.0,0
8.66,50.0,0
7.99,94.0,0
5.78,76.0,0
5.78,41.0,0
5.29,46.0,0
9.33,80.0,1
8.01,40.0,1
8.54,50.0,0
5.1,73.0,0
9.85,82.0,0
9.16,79.0,0
6.06,53.0,0
5.91,83.0,1
5.92,54.0,0
6.52,60.0,0
7.62,85.0,1
7.16,79.0,0
6.46,91.0,0
8.06,79.0,0
5.7,74.0,1
6.46,46.0,0
6.83,62.0,0
7.28,56.0,0
8.93,55.0,0
6.0,98.0,1
7.57,64.0,1
7.96,94.0,1
5.23,78.0,0
8.04,88.0,1
5.85,70.0,1
5.33,75.0,0
9.74,70.0,1
9.83,52.0,1
9.04,83.0,1
6.52,57.0,0
5.49,41.0,0
8.42,79.0,0
7.2,51.0,0
5.61,96.0,1
7.48,97.0,0
5.17,95.0,0
9.55,62.0,1
6.29,41.0,0
8.31,96.0,0
6.56,66.0,1
7.6,98.0,0
7.73,98.0,1
5.92,91.0,1
9.85,58.0,0
8.88,63.0,1
9.7,91.0,1
9.47,59.0,0
7.99,50.0,0
9.61,73.0,1
5.44,96.0,1
5.98,82.0,0
5.23,74.0,0
6.63,46.0,0
6.94,77.0,1
6.36,99.0,0
9.14,48.0,1
6.78,71.0,1
6.4,93.0,0
7.71,84.0,1
5.7,82.0,0
9.01,82.0,0
5.37,62.0,0
9.93,58.0,0
8.86,89.0,1
5.99,89.0,0
5.03,92.0,0
9.08,95.0,0
8.53,71.0,1
8.65,70.0,0
8.86,88.0,1
5.37,79.0,0
6.79,82.0,0
5.58,88.0,0
9.32,93.0,1
8.12,60.0,1
6.65,63.0,0
5.32,46.0,0
6.55,75.0,1
6.63,42.0,1
8.65,68.0,1
8.19,73.0,1
9.44,57.0,0
7.36,75.0,0
5.6,42.0,0
8.57,42.0,0
8.8,89.0,1
7.81,62.0,0
8.85,48.0,0
7.47,71.0,1
7.61,86.0,1
7.14,53.0,0
5.13,77.0,1
5.54,45.0,1
5.16,43.0,0
8.18,72.0,1
6.57,72.0,0
7.54,78.0,0
9.54,84.0,1
6.25,99.0,1
7.05,71.0,1
8.78,59.0,0
6.14,88.0,0
5.38,56.0,0
6.45,66.0,0
5.81,45.0,0
9.65,42.0,1
9.04,98.0,1
8.17,90.0,1
9.36,82.0,1
9.02,65.0,1
5.93,50.0,0
9.46,49.0,0
7.7,55.0,0
9.04,73.0,1
9.48,83.0,1
6.59,80.0,1
5.55,57.0,1
6.14,97.0,0
7.14,84.0,1
9.09,73.0,1
9.3,77.0,1
5.03,65.0,0
7.55,55.0,1
7.09,61.0,1
6.11,85.0,1
5.6,41.0,1
6.69,47.0,0
9.71,43.0,1
6.62,42.0,1
7.59,91.0,0
8.52,82.0,1
6.82,68.0,0
9.86,46.0,1
9.81,69.0,0
6.26,68.0,0
7.49,50.0,0
6.5,66.0,1
6.42,64.0,0
5.18,77.0,0
8.05,78.0,1
7.51,43.0,0
5.26,62.0,0
6.39,78.0,1
9.54,70.0,1
6.2,91.0,0
5.72,80.0,0
7.45,50.0,0
9.93,44.0,0
6.21,79.0,0
8.36,42.0,0
8.81,75.0,1
6.19,96.0,0
8.64,75.0,1
6.84,63.0,1
8.16,79.0,1
8.17,67.0,1
7.68,73.0,1
5.45,96.0,1
9.18,63.0,1
6.6,98.0,1
5.93,94.0,1
5.2,52.0,1
7.95,44.0,0
8.39,46.0,0
5.08,41.0,0
7.56,46.0,0
6.13,81.0,1
8.23,44.0,1
5.87,59.0,1
8.45,91.0,1
6.93,41.0,1
9.68,89.0,1
5.69,57.0,0
6.71,47.0,0
5.57,82.0,1
9.62,78.0,1
9.39,93.0,1
6.29,84.0,1
8.3,88.0,1
9.09,57.0,1
7.78,51.0,0
7.65,85.0,1
6.21,88.0,1
5.47,99.0,1
9.49,65.0,1
9.5,62.0,1
8.17,87.0,1
6.7,60.0,1
6.75,96.0,1
8.63,92.0,1
9.49,66.0,1
9.44,85.0,1
8.9,85.0,1
